text,label
"Urgent: Your account will be suspended within 24 hours. Verify now by clicking the link below. Enter your password and security code to confirm your identity. Do not ignore this message.",1
"Verify your account immediately. We detected unusual activity. Click here to secure your account. Enter your credentials to avoid permanent closure.",1
"Congratulations! You have won a free prize. Claim your reward now. Click the link below and enter your bank account details to receive the payment.",1
"Your credit card has been blocked. Update your information now. Enter your debit card number and security code at the link below. Act now to avoid penalty.",1
"Final notice: Your account will be deleted. Confirm your password and personal data immediately. Legal action may follow if you do not verify.",1
"Click here to login and verify your account. Unauthorized access detected. Enter your personal information to restore your account.",1
"You have won an exclusive offer. Claim your free gift asap. Limited time. Enter your details and credit card for delivery.",1
"Suspended account. Verify or we will close it. Enter your credentials now. Click the link below. Do not delay.",1
"Update your account details immediately. Your bank account may be locked. Enter your password and confirm your identity. Hurry.",1
"Action required: Verify your account. Enter your personal data and security code. Click here. Police may be involved if you ignore.",1
"ادخل بياناتك الآن لتأكيد الحساب. الرابط أدناه. سيتم إغلاق حسابك إذا لم تحدث معلوماتك خلال 24 ساعة.",1
"تحديث بياناتك فوراً. تأكيد هويتك مطلوب. اضغط على الرابط وأدخل كلمة المرور ورقم البطاقة.",1
"مبروك! لقد ربحت جائزة نقدية. اضغط هنا لاستلام الجائزة. أدخل رقم الحساب وبياناتك.",1
"حسابك موقوف. تأكيد الحساب ضروري. استخدم الرابط أدناه وأدخل بيانات بطاقتك. أسرع.",1
"كلمة السر الخاصة بك تحتاج تحديث. ادخل معلوماتك الشخصية عبر الرابط. مهم جداً.",1
"Verify your account now or it will be suspended. Enter your password. Click the link. Limited time offer.",1
"Your account has been blocked. Confirm your identity by entering your credentials. Click below. Legal action.",1
"One-time password required. Enter your OTP code and bank account details at the link. Verify now.",1
"Click here to claim your prize. You won! Enter your credit card and personal information. Congratulations.",1
"Update your information asap. Unauthorized login detected. Enter your password and security code. Hurry.",1
"تأكيد الحساب مطلوب. ادخل بياناتك. الرابط للتحقق. سيتم حذف الحساب. انتهت صلاحية.",1
"أدخل كلمة السر ورقم البطاقة. تفعيل الحساب. اضغط هنا. عرض محدود. مبروك.",1
"Confirm your password and update your account. We detected suspicious activity. Enter your details now. Click the link below.",1
"Your account will be closed. Verify immediately. Enter your personal data. Action required. Do not ignore.",1
"Free gift for you. Claim your reward. Click here. Enter your information. Limited offer. You have won.",1
"ادخل بياناتك الشخصية. تأكيد هويتك. رابط التحقق أدناه. حسابك موقوف حتى التحديث.",1
"Verify your account. Enter your credentials. Login now at the link. Secure your account. Urgent.",1
"Sign in to confirm your identity. Your account is locked. Enter your password. Click the link. Immediately.",1
"تحديث معلوماتك. أدخل رقم الحساب وبيانات الحساب. اضغط على الرابط. فوراً.",1
"Account suspended. Verify your account now. Enter your personal information. Click here. Penalty if ignored.",1
"Hi, just checking in about our meeting tomorrow at 10am. Please confirm if the room is booked. Thanks.",0
"Your order has shipped. Track your package at the link. Order number 12345. Delivery by Friday.",0
"Reminder: Team standup is at 9am every day. Agenda in the doc. Let me know if you have updates.",0
"Thanks for your application. We will review and get back to you within a week. Best regards.",0
"The document you requested is attached. Please review and sign. Contact me if you have questions.",0
"Meeting rescheduled to 3pm. Calendar invite sent. Join the Zoom link from the invite. See you there.",0
"Your subscription renews on March 1. No action needed. You can manage billing in your account settings.",0
"Password reset request. If you did not request this, ignore this email. Reset link expires in 1 hour.",0
"We have received your payment. Receipt attached. Thank you for your business.",0
"Newsletter: This week's top stories. Read more on our website. Unsubscribe link in footer.",0
"مرحباً، نود تذكيركم باجتماع الغد. الرجاء الحضور في القاعة أ. شكراً.",0
"تم استلام طلبك. رقم التتبع مرفق. التوصيل خلال ثلاثة أيام. مع تحياتنا.",0
"الإشعار الشهري لحسابك. الرصيد والعمليات مرفقة. للاستفسار تواصل مع خدمة العملاء.",0
"تذكير: ورشة العمل يوم الخميس. التسجيل عبر الرابط الرسمي على موقعنا. نراك هناك.",0
"شكراً لتعاملكم معنا. الفاتورة مرفقة. أي استفسار نكون جاهزين.",0
"Your invoice for January is ready. View and download from your account. Payment due by the 15th.",0
"New comment on your post. Click to view. You can reply from the notification center.",0
"Welcome to our service. Get started by completing your profile. Here are some tips to begin.",0
"Your report is ready. Download from the dashboard. Let us know if you need any changes.",0
"Reminder: Your appointment is tomorrow at 2pm. Reply to confirm or reschedule.",0
"مراجعة الأداء الربع السنوي. التقرير متوفر في البوابة. نرجو الاطلاع.",0
"تحديث النظام يوم الأحد. الخدمة ستكون متاحة بعد الساعتين. نعتذر عن أي إزعاج.",0
"Your feedback is important. Take our short survey. It only takes 2 minutes. Thank you.",0
"Subscription confirmed. You have access to all features. Log in at our website with your email.",0
"الاشتراك في النشرة الشهرية. يمكنك إلغاء الاشتراك في أي وقت من الرابط في الأسفل.",0
"Your account is in good standing. No action required. Contact support if you have questions.",0
"Workshop registration confirmed. Date and venue in the attachment. We look forward to seeing you.",0
"تم تفعيل حسابك بنجاح. يمكنك تسجيل الدخول من الموقع الرسمي. مرحباً بك.",0
"Reminder: Submit your timesheet by Friday. Use the link in the HR portal. Thanks.",0
"Your request has been processed. Reference number 789. We will notify you when it is complete.",0
"New message from your colleague. Log in to the workspace to read and reply.",0
"Event reminder: Annual conference next week. Agenda and location are in the calendar invite.",0
"شكراً لرسالتك. سنرد خلال 24 ساعة عمل. للطوارئ اتصل بالرقم الموجود في الموقع.",0
"Your application has been received. We will review it and contact you. Good luck.",0
"Monthly statement is available. Log in to your account to view. No action needed if balance is correct.",0
"Team update: New policy effective next month. Details in the attached document. Please read.",0
"تم استلام طلب الدعم. رقم التذكرة 456. سنتواصل معك قريباً.",0
"Your password was changed successfully. If you did not do this, contact support immediately.",0
"Invitation to join the project. Click to accept. You will get access to the shared folder.",0
"Delivery update: Your package is out for delivery today. Track with the link in this email.",0
"Session expired. Please log in again to continue. Use your existing username and password.",0
"Confirm your email address. We sent a verification link. Click to activate your account. Welcome.",0
"أدخل بياناتك الآن أو سيتم إغلاق حسابك نهائياً. الرابط الوحيد للتحقق. لا تتأخر.",1
"Verify now. Unauthorized access. Enter your bank account and credit card. Click here. Urgent.",1
"Your account is locked. Confirm your password and personal data. Follow this link. Act now.",1
"Claim your free prize. You won! Enter your details. Click the link below. Limited time.",1
"تأكيد الحساب فوراً. ادخل كلمة المرور ورقم البطاقة. اضغط هنا. حسابك موقوف.",1
"Update your information immediately. Security code required. Enter your credentials. Click below. Hurry.",1
"Final notice. Verify or we delete your account. Enter your personal information. Legal action.",1
"Sign in now to secure your account. Enter your password. Unusual activity. Click the link.",1
"مبروك. جائزة مجانية. ادخل بياناتك ورقم الحساب. اضغط على الرابط. عرض محدود.",1
"One-time password. Enter OTP and bank details. Verify your account. Click here. Now.",1
"Account suspended. Verify your identity. Enter your data. Link below. Do not ignore.",1
"Confirm your account. Enter your credentials. We detected suspicious login. Click to login. ASAP.",1
"ادخل معلوماتك الشخصية. تأكيد هويتك. الرابط أدناه. سيتم حذف الحساب. أسرع.",1
"Your card is blocked. Update details. Enter password and security code. Click here. Penalty.",1
"Congratulations. Claim your reward. Enter your information. Free gift. Click below. Limited offer.",1
"Verify your account. Unauthorized access. Enter your personal data. Secure now. Link in email.",1
"حسابك سيتم إغلاقه. ادخل بياناتك. رابط التحقق. تأكيد الحساب. فوراً.",1
"Login now. Verify your account. Enter your credentials. Action required. Click the link.",1
"Update your account. Enter your password. Confirm your identity. We blocked your account. Hurry.",1
"Click here to verify. Enter your bank account and credit card. Your account is locked. Now.",1
"تحديث بياناتك. أدخل كلمة المرور. تفعيل الحساب. اضغط هنا. انتهت صلاحية.",1
